row_id;knee_angle;group;gender;task;normalization_type;units;mean;ci_low;ci_high;subjects;studies;source_page
27;Mid-range;Elderly;BOTH;Extension;non_normalized;Nm;121,5;111,9;131,2;1677;38;2
28;Mid-range;Elderly;MALE;Extension;body_mass_normalized;Nm/kg;1,950;1,743;2,158;534;14;2
28;Mid-range;Elderly;MALE;Extension;non_normalized;Nm;163,9;146,6;181,3;400;10;2
29;Mid-range;Elderly;FEMALE;Extension;body_mass_normalized;Nm/kg;1,519;1,401;1,638;1156;19;2
29;Mid-range;Elderly;FEMALE;Extension;non_normalized;Nm;102,3;95,0;109,7;1000;20;2
30;Mid-range;Elderly;BOTH;Flexion;body_mass_normalized;Nm/kg;0,705;0,611;0,798;286;11;2
30;Mid-range;Elderly;BOTH;Flexion;non_normalized;Nm;50,9;44,5;57,3;377;13;2
31;Mid-range;Elderly;MALE;Flexion;body_mass_normalized;Nm/kg;0,791;0,688;0,894;58;4;2
31;Mid-range;Elderly;MALE;Flexion;non_normalized;Nm;66,7;61,8;71,7;58;4;2
32;Mid-range;Elderly;FEMALE;Flexion;body_mass_normalized;Nm/kg;0,635;0,462;0,808;78;6;2
32;Mid-range;Elderly;FEMALE;Flexion;non_normalized;Nm;43,6;37,5;49,7;169;8;2
33;Flexed;Athletes;BOTH;Extension;body_mass_normalized;Nm/kg;2,510;2,179;2,841;663;43;2
33;Flexed;Athletes;BOTH;Extension;non_normalized;Nm;200,5;186,7;214,3;580;36;2
34;Flexed;Athletes;MALE;Extension;body_mass_normalized;Nm/kg;2,721;2,335;3,108;342;23;2
34;Flexed;Athletes;MALE;Extension;non_normalized;Nm;190,9;177,6;204,2;368;25;2
35;Flexed;Athletes;FEMALE;Extension;body_mass_normalized;Nm/kg;1,167;1,055;1,278;92;3;2
35;Flexed;Athletes;FEMALE;Extension;non_normalized;Nm;;;;;;2
36;Flexed;Athletes;BOTH;Flexion;body_mass_normalized;Nm/kg;1,134;0,683;1,586;99;7;2
36;Flexed;Athletes;BOTH;Flexion;non_normalized;Nm;;;;;;2
37;Flexed;Athletes;MALE;Flexion;body_mass_normalized;Nm/kg;1,469;0,950;1,988;42;4;2
37;Flexed;Athletes;MALE;Flexion;non_normalized;Nm;145,6;108,8;182,4;72;4;2
38;Flexed;Athletes;FEMALE;Flexion;body_mass_normalized;Nm/kg;;;;;;2
38;Flexed;Athletes;FEMALE;Flexion;non_normalized;Nm;;;;;;2
39;Flexed;Adults;BOTH;Extension;body_mass_normalized;Nm/kg;2,657;2,483;2,830;4905;71;2
39;Flexed;Adults;BOTH;Extension;non_normalized;Nm;200,2;188,7;211,7;4884;71;2
40;Flexed;Adults;MALE;Extension;body_mass_normalized;Nm/kg;2,776;2,496;3,057;3718;27;2
40;Flexed;Adults;MALE;Extension;non_normalized;Nm;225,2;208,1;242,2;3858;35;2
41;Flexed;Adults;FEMALE;Extension;body_mass_normalized;Nm/kg;2,371;2,036;2,706;621;10;2
41;Flexed;Adults;FEMALE;Extension;non_normalized;Nm;143,8;126,7;161,0;665;14;2
42;Flexed;Adults;BOTH;Flexion;body_mass_normalized;Nm/kg;1,185;1,034;1,335;505;23;2
42;Flexed;Adults;BOTH;Flexion;non_normalized;Nm;88,7;66,7;110,8;389;17;2
43;Flexed;Adults;MALE;Flexion;body_mass_normalized;Nm/kg;1,253;0,963;1,543;267;12;2
43;Flexed;Adults;MALE;Flexion;non_normalized;Nm;92,7;59,3;126,0;217;9;2
44;Flexed;Adults;FEMALE;Flexion;body_mass_normalized;Nm/kg;1,075;0,459;1,691;32;2;2
44;Flexed;Adults;FEMALE;Flexion;non_normalized;Nm;68,3;38,6;97,9;32;2;2
45;Flexed;Elderly;BOTH;Extension;body_mass_normalized;Nm/kg;1,707;1,499;1,915;738;31;2
45;Flexed;Elderly;BOTH;Extension;non_normalized;Nm;123,9;110,2;137,5;725;31;2
46;Flexed;Elderly;MALE;Extension;body_mass_normalized;Nm/kg;1,769;1,495;2,043;392;15;2
46;Flexed;Elderly;MALE;Extension;non_normalized;Nm;150,5;132,4;168,6;318;10;2
47;Flexed;Elderly;FEMALE;Extension;body_mass_normalized;Nm/kg;1,333;1,045;1,621;214;11;2
47;Flexed;Elderly;FEMALE;Extension;non_normalized;Nm;94,0;79,9;108,1;210;12;2
48;Flexed;Elderly;BOTH;Flexion;body_mass_normalized;Nm/kg;0,636;0,423;0,848;149;10;2
48;Flexed;Elderly;BOTH;Flexion;non_normalized;Nm;55,7;43,5;68,0;135;10;2
49;Flexed;Elderly;MALE;Flexion;body_mass_normalized;Nm/kg;0,699;0,572;0,827;42;3;2
49;Flexed;Elderly;MALE;Flexion;non_normalized;Nm;56,7;50,4;63,0;42;3;2
50;Flexed;Elderly;FEMALE;Flexion;body_mass_normalized;Nm/kg;0,451;0,338;0,563;60;4;2
50;Flexed;Elderly;FEMALE;Flexion;non_normalized;Nm;32,6;25,8;39,3;60;4;2
